Perfil,Faixa Salarial Prevista,Probabilidade (%) de salário até R$ 4.000/mês,Probabilidade (%) de salário de R$ 4.001-6.000/mês,Probabilidade (%) de salário de R$ 6.001-8.000/mês,Probabilidade (%) de salário maior que R$ 8.000/mês
Analista de BI - Júnior - Experiência de menos de 1 ano,Faixa 1 - Até R$ 4.000/mês,76.53,16.33,4.08,3.06
Analista de BI - Júnior - Experiênciade 1 a 2 anos,Faixa 1 - Até R$ 4.000/mês,76.53,16.33,4.08,3.06
Analista de BI - Pleno - Experiência de 1 a 2 anos,Faixa 2 - R$ 4.001-6.000/mês,21.88,45.31,25.0,7.81
Analista de BI - Pleno - Experiência de 2 a 3 anos,Faixa 2 - R$ 4.001-6.000/mês,11.63,46.51,25.58,16.28
Analista de BI - Sênior - Experiência de 2 a 3 anos,Faixa 4 - R$ 8.001-12.000/mês,1.16,11.63,19.77,67.44
Analista de BI - Sênior - Experiência de 4 a 5 anos,Faixa 4 - R$ 8.001-12.000/mês,1.16,11.63,19.77,67.44
Analista de BI - Sênior - Experiência de mais de 6 anos,Faixa 4 - R$ 8.001-12.000/mês,1.16,11.63,19.77,67.44
Analista de Dados - Júnior - Experiência de menos de 1 ano,Faixa 1 - Até R$ 4.000/mês,65.59,25.81,6.45,2.15
Analista de Dados - Júnior - Experiência de 1 a 2 anos,Faixa 1 - Até R$ 4.000/mês,65.59,25.81,6.45,2.15
Analista de Dados - Pleno - Experiência de 1 a 2 anos,Faixa 2 - R$ 4.001-6.000/mês,21.88,45.31,25.0,7.81
Analista de Dados - Pleno - Experiência de 2 a 3 anos,Faixa 2 - R$ 4.001-6.000/mês,11.63,46.51,25.58,16.28
Analista de Dados - Sênior - Experiência de 2 a 3 anos,Faixa 4 - R$ 8.001-12.000/mês,3.3,7.69,27.47,61.54
Analista de Dados - Sênior - Experiência de 4 a 5 anos,Faixa 4 - R$ 8.001-12.000/mês,3.3,7.69,27.47,61.54
Analista de Dados - Sênior - Experiência de mais de 6 anos,Faixa 4 - R$ 8.001-12.000/mês,3.3,7.69,27.47,61.54
Cientista de Dados - Júnior - Experiência de menos de 1 ano,Faixa 1 - Até R$ 4.000/mês,52.5,26.25,10.0,11.25
Cientista de Dados - Júnior - Experiência de 1 a 2 anos,Faixa 1 - Até R$ 4.000/mês,52.5,26.25,10.0,11.25
Cientista de Dados - Pleno - Experiência de 1 a 2 anos,Faixa 3 - R$ 6.001-8.000/mês,5.71,22.86,44.29,27.14
Cientista de Dados - Pleno - Experiência de 2 a 3 anos,Faixa 4 - R$ 8.001-12.000/mês,4.2,10.92,41.18,43.7
Cientista de Dados - Sênior - Experiência de 2 a 3 anos,Faixa 4 - R$ 8.001-12.000/mês,0.89,0.89,11.61,86.61
Cientista de Dados - Sênior - Experiência de 4 a 5 anos,Faixa 4 - R$ 8.001-12.000/mês,0.89,0.89,11.61,86.61
Cientista de Dados - Sênior - Experiência de mais de 6 anos,Faixa 4 - R$ 8.001-12.000/mês,0.0,0.0,4.35,95.65
Engenheiro de Dados - Júnior - Experiência de menos de 1 ano,Faixa 1 - Até R$ 4.000/mês,50.79,42.86,4.76,1.59
Engenheiro de Dados - Júnior - Experiência de 1 a 2 anos,Faixa 1 - Até R$ 4.000/mês,50.79,42.86,4.76,1.59
Engenheiro de Dados - Pleno - Experiência de 1 a 2 anos,Faixa 3 - R$ 6.001-8.000/mês,5.71,22.86,44.29,27.14
Engenheiro de Dados - Pleno - Experiência de 2 a 3 anos,Faixa 4 - R$ 8.001-12.000/mês,4.2,10.92,41.18,43.7
Engenheiro de Dados - Sênior - Experiência de 2 a 3 anos,Faixa 4 - R$ 8.001-12.000/mês,0.89,0.89,11.61,86.61
Engenheiro de Dados - Sênior - Experiência de 4 a 5 anos,Faixa 4 - R$ 8.001-12.000/mês,0.89,0.89,11.61,86.61
Engenheiro de Dados - Sênior - Experiência de mais de 6 anos,Faixa 4 - R$ 8.001-12.000/mês,0.0,0.0,4.35,95.65
